CHEMICAL_NAME	STUDY_TITLE	ACCESSION_NUMBER	DEPOSITOR_STUDY_NUMBER	ORGANIZATION_NAME	START_DATE	END_DATE	DOSE	DOSE_UNIT	NTP_TOXICOLOGY_TYPE	NTP_TDMS_NUMBER	TIME_IN_STUDY	TIME_IN_STUDY_UNIT	GROUP_NAME	IS_CONTROL_GROUP	TREATMENT_GROUP_TYPE	ROUTE	SUBJECT_NAME	SPECIES_COMMON_NAME	SEX	STRAIN	ALA	ALA_UNIT	ALP	ALP_UNIT	ALPHR	ALPHR_UNIT	AP_CREAT	AP_CREAT_UNIT	ASP_CREAT	ASP_CREAT_UNIT	ASP_HR	ASP_HR_UNIT	AST	AST_UNIT	AVA	AVA_UNIT	BILI	BILI_UNIT	CA	CA_UNIT	CL	CL_UNIT	CREAT	CREAT_UNIT	CREAT_HR	CREAT_HR_UNIT	CRTN_16	CRTN_16_UNIT	CRTN_24	CRTN_24_UNIT	CRTN_48	CRTN_48_UNIT	DECALOL	DECALOL_UNIT	GALAC	GALAC_UNIT	GGT	GGT_UNIT	GGT_CREAT	GGT_CREAT_UNIT	GGT_HR	GGT_HR_UNIT	GLUC	GLUC_UNIT	GLUC_HR	GLUC_HR_UNIT	GLU_CREAT	GLU_CREAT_UNIT	GLU_HR_TIS	GLU_HR_TIS_UNIT	K	K_UNIT	KETONE	KETONE_UNIT	LDH_CREATN	LDH_CREATN_UNIT	MG	MG_UNIT	NA	NA_UNIT	NAG	NAG_UNIT	NAG_CREAT	NAG_CREAT_UNIT	NAG_HR	NAG_HR_UNIT	PH	PH_UNIT	PHOS	PHOS_UNIT	PROTEIN	PROTEIN_UNIT	PRO_CREAT	PRO_CREAT_UNIT	PRO_G_HR	PRO_G_HR_UNIT	PRPB	PRPB_UNIT	PRPB_HR	PRPB_HR_UNIT	RNASE	RNASE_UNIT	SDH	SDH_UNIT	SPGRAV	SPGRAV_UNIT	TCN_LT	TCN_LT_UNIT	TSPROT	TSPROT_UNIT	UBGEN	UBGEN_UNIT	UPRO_CRTN	UPRO_CRTN_UNIT	UREA_CONC	UREA_CONC_UNIT	UREA_HR	UREA_HR_UNIT	URINE_VOL	URINE_VOL_UNIT	UR_BLD	UR_BLD_UNIT	UR_CLAR	UR_CLAR_UNIT	UR_COLOR	UR_COLOR_UNIT	UR_PROT	UR_PROT_UNIT	UR_PROT_HR	UR_PROT_HR_UNIT	UR_VOL_HR	UR_VOL_HR_UNIT
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_03				0210_03	Rat	Male	Fischer 344																																																																																					1.02	ratio																									0.4375	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_04				0301_03	Rat	Female	Fischer 344																																																																																					1.016	ratio																									0.5	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_04				0302_03	Rat	Female	Fischer 344																																																																																					1.014	ratio																									0.59375	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_04				0303_03	Rat	Female	Fischer 344																																																																																					1.011	ratio																									0.84375	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_04				0304_03	Rat	Female	Fischer 344																																																																																					1.016	ratio																									0.5625	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_04				0305_03	Rat	Female	Fischer 344																																																																																					1.014	ratio																									0.6875	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.25	mg/m3		0521303.ss	80	day	C02551_0521303_04				0306_03	Rat	Female	Fischer 344																																																																																					1.016	ratio																									0.5	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_05				0401_03	Rat	Male	Fischer 344																																																																																					1.012	ratio																									1	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_05				0402_03	Rat	Male	Fischer 344																																																																																					1.01	ratio																									1.4375	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_05				0403_03	Rat	Male	Fischer 344																																																																																					1.024	ratio																									0.5	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_05				0404_03	Rat	Male	Fischer 344																																																																																					1.029	ratio																									0.25	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_05				0405_03	Rat	Male	Fischer 344																																																																																					1.026	ratio																									0.40625	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_05				0406_03	Rat	Male	Fischer 344																																																																																					1.029	ratio																									0.34375	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_05				0407_03	Rat	Male	Fischer 344																																																																																					1.02	ratio																									0.5625	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_05				0408_03	Rat	Male	Fischer 344																																																																																					1.029	ratio																									0.4375	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_05				0409_03	Rat	Male	Fischer 344																																																																																					1.023	ratio																									0.46875	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_05				0410_03	Rat	Male	Fischer 344																																																																																					1.021	ratio																									0.40625	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_06				0501_03	Rat	Female	Fischer 344																																																																																					1.015	ratio																									0.3125	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_06				0502_03	Rat	Female	Fischer 344																																																																																					1.012	ratio																									0.65625	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_06				0503_03	Rat	Female	Fischer 344																																																																																					1.013	ratio																									0.8125	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_06				0504_03	Rat	Female	Fischer 344																																																																																					1.008	ratio																									1.125	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_06				0505_03	Rat	Female	Fischer 344																																																																																					1.01	ratio																									0.9375	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_06				0506_03	Rat	Female	Fischer 344																																																																																					1.008	ratio																									1	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_06				0507_03	Rat	Female	Fischer 344																																																																																					1.023	ratio																									0.25	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_06				0508_03	Rat	Female	Fischer 344																																																																																					1.012	ratio																									0.8125	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_06				0509_03	Rat	Female	Fischer 344																																																																																					1.013	ratio																									0.59375	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.05	mg/m3		0521303.ss	80	day	C02551_0521303_06				0510_03	Rat	Female	Fischer 344																																																																																					1.018	ratio																									0.375	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	80	day	C02551_0521303_07				0601_03	Rat	Male	Fischer 344			148	U/L	0.02107142857142857142857142857142857	mU/hr	231.25	mU/mg	31.25	mU/mg	0.01	mg/hr	20	U/L									64	mg/dL			5.12	mg/hr															9.1	mg/dL	0.045625	mg/hr	0.1421875	mg/mg													8.7	U/L	13.59375	mU/mg	0.004375	mg/hr																			1.019	ratio							1.375	mg per mg per n													88	mg/dL	0.44	mg/hr	0.5	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	81	day	C02551_0521303_07				0601_03	Rat	Male	Fischer 344																																																																																					1.014	ratio													1	ml												
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	80	day	C02551_0521303_07				0602_03	Rat	Male	Fischer 344			128	U/L	0.04107142857142857142857142857142857	mU/hr	278.26087	mU/mg	36.30435	mU/mg	0.01875	mg/hr	16.7	U/L									46	mg/dL			8.28	mg/hr															6	mg/dL	0.0675	mg/hr	0.13043478	mg/mg													7.5	U/L	16.30435	mU/mg	0.008125	mg/hr																			1.014	ratio							1.58695652	mg per mg per n													73	mg/dL	0.82125	mg/hr	1.125	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	81	day	C02551_0521303_07				0602_03	Rat	Male	Fischer 344																																																																																					1.023	ratio													3	ml												
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	80	day	C02551_0521303_07				0603_03	Rat	Male	Fischer 344			189	U/L	0.03214285714285714285714285714285714	mU/hr	320.33898	mU/mg	29.15254	mU/mg	0.01	mg/hr	17.2	U/L									59	mg/dL			5.61	mg/hr															9.6	mg/dL	0.056875	mg/hr	0.16271186	mg/mg													7.8	U/L	13.22034	mU/mg	0.004375	mg/hr																			1.017	ratio							1.47457627	mg per mg per n													87	mg/dL	0.51625	mg/hr	0.59375	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	81	day	C02551_0521303_07				0603_03	Rat	Male	Fischer 344																																																																																					1.023	ratio													2.3	ml												
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	80	day	C02551_0521303_07				0604_03	Rat	Male	Fischer 344			150	U/L	0.03089285714285714285714285714285714	mU/hr	241.93548	mU/mg	27.58065	mU/mg	0.0125	mg/hr	17.1	U/L									62	mg/dL			7.13	mg/hr															8.6	mg/dL	0.061875	mg/hr	0.13870968	mg/mg													7.6	U/L	12.25806	mU/mg	0.005625	mg/hr																			1.018	ratio							1.27419355	mg per mg per n													79	mg/dL	0.568125	mg/hr	0.71875	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	81	day	C02551_0521303_07				0604_03	Rat	Male	Fischer 344																																																																																					1.029	ratio													1.4	ml												
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	80	day	C02551_0521303_07				0605_03	Rat	Male	Fischer 344			226	U/L	0.02017857142857142857142857142857143	mU/hr	221.56863	mU/mg	23.82353	mU/mg	0.0075	mg/hr	24.3	U/L									102	mg/dL			5.1	mg/hr															13.6	mg/dL	0.0425	mg/hr	0.13333333	mg/mg													11.2	U/L	10.98039	mU/mg	0.00375	mg/hr																			1.027	ratio							.99019608	mg per mg per n													101	mg/dL	0.315625	mg/hr	0.3125	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	81	day	C02551_0521303_07				0605_03	Rat	Male	Fischer 344																																																																																					1.013	ratio													2.7	ml												
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	80	day	C02551_0521303_07				0606_03	Rat	Male	Fischer 344			183	U/L	0.02607142857142857142857142857142857	mU/hr	244	mU/mg	27.86667	mU/mg	0.010625	mg/hr	20.9	U/L									75	mg/dL			6	mg/hr															11.1	mg/dL	0.055625	mg/hr	0.148	mg/mg													9.4	U/L	12.53333	mU/mg	0.005	mg/hr																			1.022	ratio							1.24	mg per mg per n													93	mg/dL	0.465	mg/hr	0.5	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	81	day	C02551_0521303_07				0606_03	Rat	Male	Fischer 344																																																																																					1.015	ratio													1.7	ml												
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	80	day	C02551_0521303_07				0607_03	Rat	Male	Fischer 344			273	U/L	0.01714285714285714285714285714285714	mU/hr	223.77049	mU/mg	28.44262	mU/mg	0.0075	mg/hr	34.7	U/L									122	mg/dL			4.27	mg/hr															15.3	mg/dL	0.03375	mg/hr	0.12540984	mg/mg													15.4	U/L	12.62295	mU/mg	0.003125	mg/hr																			1.031	ratio							.90163934	mg per mg per n													110	mg/dL	0.240625	mg/hr	0.21875	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	81	day	C02551_0521303_07				0607_03	Rat	Male	Fischer 344																																																																																					1.015	ratio													0.9	ml												
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	80	day	C02551_0521303_07				0608_03	Rat	Male	Fischer 344			162	U/L	0.04053571428571428571428571428571429	mU/hr	330.61224	mU/mg	32.04082	mU/mg	0.01375	mg/hr	15.7	U/L									49	mg/dL			6.86	mg/hr															7.1	mg/dL	0.061875	mg/hr	0.14489796	mg/mg													8	U/L	16.32653	mU/mg	0.006875	mg/hr																			1.015	ratio							1.6122449	mg per mg per n													79	mg/dL	0.69125	mg/hr	0.875	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	81	day	C02551_0521303_07				0608_03	Rat	Male	Fischer 344																																																																																					1.007	ratio													1.8	ml												
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	80	day	C02551_0521303_07				0609_03	Rat	Male	Fischer 344			150	U/L	0.02946428571428571428571428571428571	mU/hr	258.62069	mU/mg	31.03448	mU/mg	0.0125	mg/hr	18	U/L									58	mg/dL			6.38	mg/hr															8.2	mg/dL	0.05625	mg/hr	0.14137931	mg/mg													8.7	U/L	15	mU/mg	0.00625	mg/hr																			1.017	ratio							1.44827586	mg per mg per n													84	mg/dL	0.5775	mg/hr	0.6875	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	81	day	C02551_0521303_07				0609_03	Rat	Male	Fischer 344																																																																																					1.02	ratio													2.3	ml												
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	80	day	C02551_0521303_07				0610_03	Rat	Male	Fischer 344			162	U/L	0.03178571428571428571428571428571429	mU/hr	257.14286	mU/mg	25.71429	mU/mg	0.01125	mg/hr	16.2	U/L									63	mg/dL			6.93	mg/hr															8.3	mg/dL	0.056875	mg/hr	0.13174603	mg/mg													7.3	U/L	11.5873	mU/mg	0.005	mg/hr																			1.018	ratio							1.28571429	mg per mg per n													81	mg/dL	0.556875	mg/hr	0.6875	mL/hr
Cadmium Oxide	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	002-01818-0001-0000-1		NTP			0.1	mg/m3		0521303.ss	81	day	C02551_0521303_07				0610_03	Rat	Male	Fischer 344																																																																																					1.013	ratio													0.9	ml												
