dose	time_in_study	accession_number	depositor_study_number	organization_name	start_date	end_date	dose_unit	ntp_toxicology_type	ntp_tdms_number	time_in_study_unit	group_name	treatment_group_type	route	subject_name	species_common_name	sex	strain	ur_bld	ur_color	cyto_rep	chemical_name	amino	study_title	ala	ala_unit	alphr	alphr_unit	ap_creat	ap_creat_unit	asp_creat	asp_creat_unit	ast	ast_unit	ava	ava_unit	bili	bili_unit	ca	ca_unit	cl	cl_unit	creat	creat_unit	creat_hr	creat_hr_unit	crtn_24	crtn_24_unit	crtn_48	crtn_48_unit	galac	galac_unit	ggt	ggt_unit	ggt_hr	ggt_hr_unit	gluc	gluc_unit	gluc_hr	gluc_hr_unit	glu_hr_tis	glu_hr_tis_unit	k	k_unit	ketone	ketone_unit	ldh_creatn	ldh_creatn_unit	mg	mg_unit	na	na_unit	nag_creat	nag_creat_unit	nag_hr	nag_hr_unit	ph	ph_unit	phos	phos_unit	protein	protein_unit	pro_g_hr	pro_g_hr_unit	prpb	prpb_unit	sdh	sdh_unit	spgrav	spgrav_unit	tcn_lt	tcn_lt_unit	tsprot	tsprot_unit	ubgen	ubgen_unit	upro_crtn	upro_crtn_unit	urea_conc	urea_conc_unit	urea_hr	urea_hr_unit	urine_vol	urine_vol_unit	ur_prot	ur_prot_unit	ur_prot_hr	ur_prot_hr_unit	ur_vol_hr	ur_vol_hr_unit	updated_at
0.750000000000000	18	002-01965-0004-0000-7	\N	NTP	2001	\N	ppm	\N	0519803.ss	day	C62077_0519703_08	\N	\N	0011_01	Mouse	Male	F344	1	yellow	cytorep_image.jpeg	Propargyl Alcohol	amino_acid_interpret.doc	3-Month Evaluation of the Toxicity (C62191B) of Cupric Sulfate (7758-99-8) in F344 Rats Exposed via Dosed Feed. NTP Special Study	13.6368	umol/L	9.1364	mU/hr	\N	\N	582.3725	mU/mg	91.6807	U/L	0	\N	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	159.8983	mg/hr	308.2367	mg/hr	0	\N	\N	\N	99.7828	mU/hr	40.8046	mg/dL	\N	\N	0	\N	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	142.7662	mU/mg	9.9607	mg/hr	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	0	\N	0	\N	229.6095	mg/dL	\N	\N	\N	\N	129.5391	mg/dL	0.3118	mg/hr	\N	\N	2021-10-16 19:43:42.192414
57.300000000000000	2	002-03029-0004-0000-0	\N	NTP	\N	\N	mg/kg	\N	0519603.ss	day	C04308_0519603_09	\N	\N	0045_03	Rat	Female	Fischer 344	3	red	\N	Tetralin	amino_acid_interpret.doc	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	\N	\N	4.7463	mU/hr	\N	\N	\N	\N	46.6593	U/L	0	\N	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	17.9629	mg/hr	0	\N	\N	\N	84.1169	mU/hr	\N	\N	0.0645	mg/hr	0	\N	0	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	0.2984	mg/hr	0	\N	0	\N	\N	\N	0	\N	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	0	\N	0	\N	1853.2078	mg/dL	6.0595	mg/hr	\N	\N	\N	\N	0.0966	mg/hr	\N	\N	2017-12-04 03:08:57.245214
94.000000000000000	2	002-02832-0002-0000-9	\N	NTP	2001	\N	mg/L	\N	8804503.ss	week	C88045_8804503_07	\N	\N	0474_99	Rat	Male	Fischer 344	3	light yellow	cytorep_image.jpeg	Ethylene Glycol Monomethyl Ether (EGMME)	amino_acid_interpretation.txt	3-Month Evaluation of the Toxicity (C88045) of Butanal Oxime (110-69-0) in F344 Rats Exposed via Dosed Water. NTP Special Study	20.5139	umol/L	\N	\N	14135.0171	mU/mg	633.7619	mU/mg	387.3634	U/L	0	\N	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	278.8315	mg/hr	76.601	mg/hr	0	\N	2174.0863	U/L	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	0	\N	0	\N	87.3023	mU/mg	11.5284	mg/hr	\N	\N	\N	\N	0	\N	0	\N	2.5189	umol/L	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	0	\N	\N	\N	7.2716	mg/hr	0	\N	421.6817	mg/dL	0.7664	mg/hr	\N	\N	2021-07-25 22:38:29.338014
30.000000000000000	5	002-02816-0002-0000-1	NTP002	NTP	\N	\N	mg/m3	\N	0513605.ss	hour	C88045_8804503_03	\N	\N	0059_01	Mouse	Female	B6C3F1	1+	clear	cytorep_domcument.pdf	tert-Butyl Alcohol	amino_acid_interpretation.txt	3-Month Evaluation of the Toxicity (C62271) of Gallium Oxide (12024-21-4) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	\N	\N	\N	\N	12243.2904	mU/mg	\N	\N	196.0764	U/L	\N	\N	0	mg/dL	0	\N	\N	\N	\N	\N	0.0617	uM/hour	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	18.5769	mg/dL	0.0169	mg/hr	0	\N	0	\N	\N	\N	0	\N	\N	\N	0	\N	109.1835	mU/mg	\N	\N	\N	\N	\N	\N	0	\N	0	\N	\N	\N	2.1937	U/L	0	\N	0	\N	\N	\N	\N	\N	0	\N	1949.8214	mg/dL	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	2021-05-26 20:47:17.011614
3750.000000000000000	6	002-02841-0005-0000-2	NTP002	NTP	2001	\N	ppm	\N	9302605.ss	month	C62271_0520203_07	\N	\N	0602_98_02_F	Mouse	Female	Fischer 344	1	clear	cytorep_image.jpeg	Sodium Selenite	amino_acid_interpretation.txt	3-Month Evaluation of the Toxicity (C02551) of Cadmium Oxide (1306-19-0) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	\N	\N	\N	\N	\N	\N	737.377	mU/mg	106.6653	U/L	\N	\N	\N	\N	\N	\N	\N	\N	23.6791	mg/dL	\N	\N	179.5577	mg/hr	\N	\N	0	\N	2262.9797	U/L	\N	\N	62.8551	mg/dL	\N	\N	0	\N	\N	\N	\N	\N	0	\N	\N	\N	0	\N	23.7174	mU/mg	7.3217	mg/hr	\N	\N	0	\N	0	\N	0	\N	3.341	umol/L	6.1986	U/L	0	\N	0	\N	0	\N	0	\N	0	\N	1434.0818	mg/dL	\N	\N	\N	\N	18.5454	mg/dL	\N	\N	3.2721	mL/hr	2018-08-10 18:25:51.408414
750.000000000000000	1	002-02201-0001-0000-8	\N	NTP	2001	\N	mg/m3	\N	0520203.ss	hour	APAP_0 mg/kg_48 hour	\N	\N	0604_98_02_F	Rat	Female	F344	neg.	yellow	\N	trans-Cinnamaldehyde	\N	3-Month Evaluation of the Toxicity (C61983A) of 1-Chloro-2-propanol, Technical (127-00-4) in F344 Rats Exposed via Dosed Water. NTP Special Study	15.5431	umol/L	0.9986	mU/hr	2380.858	mU/mg	709.6431	mU/mg	304.7293	U/L	0	\N	0	mg/dL	\N	\N	0	\N	54.0183	mg/dL	\N	\N	\N	\N	423.1574	mg/hr	0	\N	\N	\N	20.1263	mU/hr	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	0.7116	mg/hr	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	0	\N	\N	\N	5.4058	mg/hr	\N	\N	516.9229	mg/dL	0.0558	mg/hr	\N	\N	2021-07-13 11:49:51.926814
33.000000000000000	16	002-02846-0001-0000-3	\N	NTP	\N	\N	mg/kg	\N	9000405.fixtime	week	C56111B_5611103_04	\N	\N	0009_03	Mouse	Male	F344	0	amber	\N	Butanal Oxime	\N	3-Month Evaluation of the Toxicity (C93025) of Tetralin (119-64-2) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	\N	\N	10.4375	mU/hr	\N	\N	458.5831	mU/mg	\N	\N	\N	\N	\N	\N	0	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	78.3306	mU/hr	\N	\N	0.0783	mg/hr	0	\N	\N	\N	\N	\N	0	\N	0	\N	\N	\N	\N	\N	7.5494	mg/hr	\N	\N	0	\N	0	\N	0	\N	3.6584	umol/L	3.9539	U/L	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	1090.5811	mg/dL	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	2020-11-29 00:23:41.981214
1875.000000000000000	7	002-02877-0004-0000-0	NTP002	NTP	2001	\N	ppm	\N	9700803.fixtime	week	C62191B_0520605_23	\N	\N	0129_03	Mouse	Female	F344	negativ	dark yellow	\N	Propylene Glycol mono-butyl Ether	amino_acid_interpretation.txt	3-Month Evaluation of the Toxicity (C62077) of 2-Butoxyethanol (Ethylene Glycol Monobutyl Ether) (111-76-2) in F344 Rats Exposed via Dosed Water. NTP Special Study	9.8599	umol/L	\N	\N	\N	\N	\N	\N	525.5513	U/L	0	\N	0	mg/dL	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	2530.1167	U/L	\N	\N	3.4452	mg/dL	\N	\N	0	\N	0	\N	0	\N	\N	\N	0	\N	\N	\N	\N	\N	13.0134	mg/hr	\N	\N	\N	\N	0	\N	0	\N	0.9024	umol/L	\N	\N	\N	\N	\N	\N	0	\N	0	\N	0	\N	\N	\N	5.4294	mg/hr	\N	\N	602.4369	mg/dL	\N	\N	\N	\N	2017-02-06 18:17:16.378014
48.000000000000000	11	002-02161-0006-0000-8	\N	NTP	2001	\N	mg/m3	\N	0519503.ss	hour	C20114_2011497_02	\N	\N	0307_03	Rat	Female	B6C3F1	1+	dark yellow	cytorep_domcument.pdf	No stressor	amino_acid_interpretation.txt	3-Month Evaluation of the Toxicity (C90004) of Propylene Glycol mono-Butyl Ether (5131-66-8) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	8.6139	umol/L	\N	\N	9413.4152	mU/mg	\N	\N	226.9568	U/L	\N	\N	0	mg/dL	0	\N	\N	\N	20.8176	mg/dL	\N	\N	140.6777	mg/hr	\N	\N	0	\N	2509.4691	U/L	\N	\N	49.2032	mg/dL	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	0	\N	0	\N	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	0	\N	\N	\N	2.1934	U/L	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	930.8581	mg/dL	5.5843	mg/hr	0	\N	\N	\N	0.4666	mg/hr	\N	\N	2017-08-14 17:47:44.918814
4.800000000000000	13	002-02281-0004-0000-9	\N	NTP	\N	\N	ppm	\N	9302505.fixtime	week	C62271_0520203_10	\N	\N	3687_03	Rat	Female	Fischer 344	\N	brown	\N	trans-Cinnamaldehyde	amino_acid_interpretation.txt	3-Month Evaluation of the Toxicity (C61983A) of 1-Chloro-2-propanol, Technical (127-00-4) in F344 Rats Exposed via Dosed Water. NTP Special Study	24.8334	umol/L	19.8505	mU/hr	\N	\N	\N	\N	185.8249	U/L	\N	\N	0	mg/dL	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	1594.1881	U/L	\N	\N	17.5399	mg/dL	\N	\N	\N	\N	0	\N	\N	\N	0	\N	\N	\N	0	\N	\N	\N	1.8081	mg/hr	\N	\N	\N	\N	\N	\N	0	\N	4.3043	umol/L	4.3598	U/L	0	\N	0	\N	0	\N	0	\N	0	\N	\N	\N	6.701	mg/hr	0	\N	484.7577	mg/dL	0.5507	mg/hr	8.2634	mL/hr	2021-07-10 15:38:37.690014
0.250000000000000	44	002-02841-0005-0000-2	\N	NTP	2001	\N	mg/kg	\N	9302505.fixtime	week	C62191B_0520605_02	\N	\N	0128_01	Mouse	Male	F344	0	light yellow	\N	Propargyl Alcohol	amino_acid_interpretation.txt	18-Week Evaluation of the Toxicity (C99013) of Styrene-acrylonitrile Trimer (SANTRIMER2) in F344 Rats Exposed via Dosed Feed. NTP Special Study	21.2694	umol/L	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	57.8887	mg/dL	\N	\N	\N	\N	309.4461	mg/hr	0	\N	922.1862	U/L	\N	\N	\N	\N	0.0473	mg/hr	\N	\N	\N	\N	\N	\N	0	\N	0	\N	\N	\N	\N	\N	3.6921	mg/hr	\N	\N	0	\N	0	\N	0	\N	\N	\N	\N	\N	0	\N	0	\N	0	\N	0	\N	0	\N	\N	\N	6.3494	mg/hr	\N	\N	\N	\N	\N	\N	7.6547	mL/hr	2019-10-26 10:42:58.560414
14.300000000000000	81	002-02816-0002-0000-1	\N	NTP	\N	\N	ppm	\N	0516001.ss	week	C90004_9000405_04	\N	\N	0006_MR03	Mouse	Female	B6C3F1	negativ	light yellow	cytorep_image.jpeg	Anthraquinone	amino_acid_interpret.doc	3-Month Evaluation of the Toxicity (C62168) of o-Cresol (95-48-7) in F344 Rats Exposed via Dosed Feed. NTP Special Study	20.5037	umol/L	20.5405	mU/hr	5381.4892	mU/mg	387.3781	mU/mg	338.3889	U/L	0	\N	0	mg/dL	0	\N	\N	\N	\N	\N	0.1628	uM/hour	232.8091	mg/hr	90.3645	mg/hr	0	\N	3627.5773	U/L	73.9878	mU/hr	101.3984	mg/dL	\N	\N	0	\N	\N	\N	\N	\N	0	\N	\N	\N	0	\N	94.5632	mU/mg	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	3.7541	U/L	\N	\N	0	\N	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0.5637	mg/hr	\N	\N	2020-10-27 18:32:25.651614
300.000000000000000	9	002-01818-0001-0000-1	NTP002	NTP	2001	\N	ppm	\N	8800601.fixtime	hour	C62113_0519503_03	\N	\N	0107_01	Mouse	Male	Fischer 344	\N	brown	cytorep_image.jpeg	o-Cresol	amino_acid_interpretation.txt	3-Month Evaluation of the Toxicity (C50522) of Chloroprene (126-99-8) in F344 Rats via Whole Body Respiratory Exposure. NTP Special Study	\N	\N	2.9574	mU/hr	6875.0614	mU/mg	\N	\N	108.9001	U/L	0	\N	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	108.2784	mg/hr	\N	\N	\N	\N	191.7393	U/L	\N	\N	115.9708	mg/dL	0.0258	mg/hr	\N	\N	0	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	12.4998	mg/hr	\N	\N	\N	\N	\N	\N	\N	\N	5.0262	umol/L	1.6301	U/L	\N	\N	\N	\N	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	598.8467	mg/dL	0.801	mg/hr	12.8699	mL/hr	2020-01-07 20:31:17.280414
270.000000000000000	81	002-02200-0001-0000-7	NTP002	NTP	\N	\N	%	\N	6142703.ss	day	C62271_0520203_02	\N	\N	0274_01	Rat	Female	F344	neg	yellow	cytorep_domcument.pdf	tert-Butyl Alcohol	\N	3-Month Evaluation of the Toxicity (C88036) of Anthraquinone (84-65-1) in F344 Rats Exposed via Dosed Feed. NTP Special Study	\N	\N	\N	\N	12936.5796	mU/mg	251.443	mU/mg	\N	\N	\N	\N	0	mg/dL	0	\N	0	\N	99.6654	mg/dL	0.1616	uM/hour	108.5303	mg/hr	105.2661	mg/hr	0	\N	3956.2317	U/L	\N	\N	23.9459	mg/dL	0.0048	mg/hr	0	\N	0	\N	0	\N	\N	\N	0	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	0	\N	0	\N	2.3522	umol/L	\N	\N	0	\N	\N	\N	\N	\N	0	\N	0	\N	\N	\N	\N	\N	0	\N	120.0386	mg/dL	0.4764	mg/hr	\N	\N	2019-05-29 08:09:06.115614
